CE Buy-Only Diagnostic - 150 coins, pichle 720 bars (~30 din)

======================================================================

Total RAW cross events (pichle 720 bars, sab 150 coins mila ke): 954
Total POST-COOLDOWN signals: 731
Kitne coins par kam-az-kam 1 raw event hua: 139/150
Kitne coins par ABHI (is waqt) ek OPEN trade hai (jo dashboard dikhata): 1/150

Sab se RECENT signal (kisi bhi coin par): YOM/USDT, 0 bars (0.0 din) pehle -> OPEN

======================================================================
Har coin ki detail:

BTC/USDT: raw=4, post-cooldown=4, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
ETH/USDT: raw=5, post-cooldown=5, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
XMR/USDT: raw=2, post-cooldown=2, aakhri signal 40 bars (1.7 din) pehle -> CLOSED (STOPPED, exit 39 bars pehle)
XRP/USDT: raw=8, post-cooldown=5, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
ZEC/USDT: raw=2, post-cooldown=2, aakhri signal 41 bars (1.7 din) pehle -> CLOSED (STOPPED, exit 40 bars pehle)
NEAR/USDT: raw=3, post-cooldown=3, aakhri signal 151 bars (6.3 din) pehle -> CLOSED (STOPPED, exit 150 bars pehle)
SUI/USDT: raw=1, post-cooldown=1, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
AVAX/USDT: raw=0, post-cooldown=0, aakhri signal 884 bars (36.8 din) pehle -> CLOSED (STOPPED, exit 883 bars pehle)
SOL/USDT: raw=4, post-cooldown=3, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
TAO/USDT: raw=2, post-cooldown=1, aakhri signal 154 bars (6.4 din) pehle -> CLOSED (STOPPED, exit 153 bars pehle)
ARB/USDT: raw=4, post-cooldown=4, aakhri signal 153 bars (6.4 din) pehle -> CLOSED (STOPPED, exit 152 bars pehle)
SEI/USDT: raw=5, post-cooldown=3, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
DOT/USDT: raw=2, post-cooldown=2, aakhri signal 202 bars (8.4 din) pehle -> CLOSED (STOPPED, exit 201 bars pehle)
UNI/USDT: raw=1, post-cooldown=1, aakhri signal 275 bars (11.5 din) pehle -> CLOSED (STOPPED, exit 274 bars pehle)
KCS/USDT: raw=13, post-cooldown=7, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
LINK/USDT: raw=3, post-cooldown=2, aakhri signal 35 bars (1.5 din) pehle -> CLOSED (STOPPED, exit 34 bars pehle)
AAVE/USDT: raw=3, post-cooldown=3, aakhri signal 116 bars (4.8 din) pehle -> CLOSED (STOPPED, exit 115 bars pehle)
ENA/USDT: raw=0, post-cooldown=0, aakhri signal 876 bars (36.5 din) pehle -> CLOSED (STOPPED, exit 875 bars pehle)
USDC/USDT: raw=1, post-cooldown=1, aakhri signal 61 bars (2.5 din) pehle -> CLOSED (STOPPED, exit 60 bars pehle)
BNB/USDT: raw=6, post-cooldown=3, aakhri signal 207 bars (8.6 din) pehle -> CLOSED (STOPPED, exit 206 bars pehle)
ASTER/USDT: raw=0, post-cooldown=0, aakhri signal 1043 bars (43.5 din) pehle -> CLOSED (STOPPED, exit 1042 bars pehle)
LTC/USDT: raw=4, post-cooldown=4, aakhri signal 192 bars (8.0 din) pehle -> CLOSED (STOPPED, exit 191 bars pehle)
PIEVERSE/USDT: raw=5, post-cooldown=5, aakhri signal 15 bars (0.6 din) pehle -> CLOSED (STOPPED, exit 14 bars pehle)
LONGXIA/USDT: raw=3, post-cooldown=2, aakhri signal 282 bars (11.8 din) pehle -> CLOSED (STOPPED, exit 281 bars pehle)
TRUMP/USDT: raw=3, post-cooldown=3, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
